,Year,Prefecture,Age Lower Bound,Age Upper Bound,Gender,Population
0,1920,Hokkaido,0,4,Male,190044
1,1920,Hokkaido,0,4,Female,186632
2,1920,Hokkaido,5,9,Male,161814
3,1920,Hokkaido,5,9,Female,157556
4,1920,Hokkaido,10,14,Male,138018
5,1920,Hokkaido,10,14,Female,131994
6,1920,Hokkaido,15,19,Male,125670
7,1920,Hokkaido,15,19,Female,113422
8,1920,Hokkaido,20,24,Male,109351
9,1920,Hokkaido,20,24,Female,98986
10,1920,Hokkaido,25,29,Male,96638
11,1920,Hokkaido,25,29,Female,78619
12,1920,Hokkaido,30,34,Male,86287
13,1920,Hokkaido,30,34,Female,71163
14,1920,Hokkaido,35,39,Male,78926
15,1920,Hokkaido,35,39,Female,64355
16,1920,Hokkaido,40,44,Male,70818
17,1920,Hokkaido,40,44,Female,56424
18,1920,Hokkaido,45,49,Male,55004
19,1920,Hokkaido,45,49,Female,42855
20,1920,Hokkaido,50,54,Male,43412
21,1920,Hokkaido,50,54,Female,33205
22,1920,Hokkaido,55,59,Male,29659
23,1920,Hokkaido,55,59,Female,23865
24,1920,Hokkaido,60,64,Male,23975
25,1920,Hokkaido,60,64,Female,20140
26,1920,Hokkaido,65,69,Male,17456
27,1920,Hokkaido,65,69,Female,15946
28,1920,Hokkaido,70,74,Male,10466
29,1920,Hokkaido,70,74,Female,10967
30,1920,Hokkaido,75,79,Male,4766
31,1920,Hokkaido,75,79,Female,5718
32,1920,Hokkaido,80,,Male,2018
33,1920,Hokkaido,80,,Female,3014
34,1925,Hokkaido,0,4,Male,204576
35,1925,Hokkaido,0,4,Female,201031
36,1925,Hokkaido,5,9,Male,170315
37,1925,Hokkaido,5,9,Female,166123
38,1925,Hokkaido,10,14,Male,153388
39,1925,Hokkaido,10,14,Female,147433
40,1925,Hokkaido,15,19,Male,131986
41,1925,Hokkaido,15,19,Female,120289
42,1925,Hokkaido,20,24,Male,112790
43,1925,Hokkaido,20,24,Female,102601
44,1925,Hokkaido,25,29,Male,99237
45,1925,Hokkaido,25,29,Female,86922
46,1925,Hokkaido,30,34,Male,83238
47,1925,Hokkaido,30,34,Female,68876
48,1925,Hokkaido,35,39,Male,76040
49,1925,Hokkaido,35,39,Female,63734
50,1925,Hokkaido,40,44,Male,68948
51,1925,Hokkaido,40,44,Female,57672
52,1925,Hokkaido,45,49,Male,61572
53,1925,Hokkaido,45,49,Female,51197
54,1925,Hokkaido,50,54,Male,46801
55,1925,Hokkaido,50,54,Female,38487
56,1925,Hokkaido,55,59,Male,35637
57,1925,Hokkaido,55,59,Female,29361
58,1925,Hokkaido,60,64,Male,23516
59,1925,Hokkaido,60,64,Female,20296
60,1925,Hokkaido,65,69,Male,17441
61,1925,Hokkaido,65,69,Female,16238
62,1925,Hokkaido,70,74,Male,11550
63,1925,Hokkaido,70,74,Female,11845
64,1925,Hokkaido,75,79,Male,5829
65,1925,Hokkaido,75,79,Female,7142
66,1925,Hokkaido,80,84,Male,2084
67,1925,Hokkaido,80,84,Female,2970
68,1925,Hokkaido,85,,Male,525
69,1925,Hokkaido,85,,Female,989
70,1930,Hokkaido,0,4,Male,224549
71,1930,Hokkaido,0,4,Female,220908
72,1930,Hokkaido,5,9,Male,193478
73,1930,Hokkaido,5,9,Female,189602
74,1930,Hokkaido,10,14,Male,167701
75,1930,Hokkaido,10,14,Female,161633
76,1930,Hokkaido,15,19,Male,154310
77,1930,Hokkaido,15,19,Female,142516
78,1930,Hokkaido,20,24,Male,132268
79,1930,Hokkaido,20,24,Female,115990
80,1930,Hokkaido,25,29,Male,116156
81,1930,Hokkaido,25,29,Female,98557
82,1930,Hokkaido,30,34,Male,97392
83,1930,Hokkaido,30,34,Female,82683
84,1930,Hokkaido,35,39,Male,81969
85,1930,Hokkaido,35,39,Female,66616
86,1930,Hokkaido,40,44,Male,71915
87,1930,Hokkaido,40,44,Female,60179
88,1930,Hokkaido,45,49,Male,63638
89,1930,Hokkaido,45,49,Female,54283
90,1930,Hokkaido,50,54,Male,55382
91,1930,Hokkaido,50,54,Female,47219
92,1930,Hokkaido,55,59,Male,40916
93,1930,Hokkaido,55,59,Female,35202
94,1930,Hokkaido,60,64,Male,29551
95,1930,Hokkaido,60,64,Female,26100
96,1930,Hokkaido,65,69,Male,18006
97,1930,Hokkaido,65,69,Female,17056
98,1930,Hokkaido,70,74,Male,11630
99,1930,Hokkaido,70,74,Female,12356
100,1930,Hokkaido,75,79,Male,6488
101,1930,Hokkaido,75,79,Female,7716
102,1930,Hokkaido,80,,Male,3191
103,1930,Hokkaido,80,,Female,5179
104,1935,Hokkaido,0,4,Male,234131
105,1935,Hokkaido,0,4,Female,228419
106,1935,Hokkaido,5,9,Male,210495
107,1935,Hokkaido,5,9,Female,207472
108,1935,Hokkaido,10,14,Male,188761
109,1935,Hokkaido,10,14,Female,183349
110,1935,Hokkaido,15,19,Male,164046
